Team,1,2,3,4,5,6,7,8,9,10
LG,0.947455160795339,0.00013924225053013248,0.01023119616712433,0.041643369928352686,0.000531030858533966,1.0531269420540905e-31,1.201535507794658e-13,1.1435388114942092e-33,1.4863605510714041e-96,2.89000836359294e-112
NC,0.002884316028440723,0.8499137777310607,0.14324827058157022,0.003917219607227577,3.641605125047427e-05,3.586512906108607e-22,4.502276440148286e-13,1.5210582401461408e-25,2.0029293675611254e-58,6.296377469107539e-66
SSG,0.0571386364997441,0.0003381935438408946,0.009167599194461105,0.033083007080171145,0.1129757928890332,0.32717330957334334,0.3182131433586951,0.10168136260183287,0.03019160440683564,0.010037350852042555
두산,0.05918308695295494,0.0022078251759396934,0.07850561278993266,0.042989054667935185,0.2023870768702218,0.24558556571596724,0.2635393795180533,0.10007892437500926,0.004190471029147902,0.0013330029048380964
KIA,4.353736177517523e-05,0.025734749185712964,0.9740239174809906,2.7642007388702057e-05,0.00016888486039441628,1.1364288215007315e-08,1.2284056228190707e-06,2.9333827128764603e-08,5.981599840577114e-19,8.183525481889431e-21
키움,9.13392647141403e-05,0.024265982490049683,0.9751480436544285,6.397969662850753e-05,0.00042441325261597756,1.2571119155878526e-07,5.838215562264372e-06,2.7771480920578283e-07,1.4335897148058556e-16,3.659608018654273e-18
KT,0.0009647035653948295,5.012178964597898e-07,0.0005424741245108485,0.0008268313958781983,0.030044325569468674,0.2659794584904501,0.2321195219473863,0.46492234933686466,0.004021915951769158,0.0005779184003808177
한화,0.007144090265213098,7.535569819545065e-05,0.0029782674581651457,0.00565696455718992,0.029722135242378635,0.2734054979191742,0.09904177969135776,0.09405089217673157,0.2872011419673244,0.20072387502426994
삼성,0.00019830742500665533,4.1377759186400176e-07,2.2011046244339883e-05,0.00016124723527657564,0.000982002700640781,0.03775084899039803,0.007501899118885416,0.011817160918333331,0.47804174003160366,0.46352436875601927
롯데,0.0007119004904078192,1.104300018396184e-06,0.000111953666952983,0.0005859573474982021,0.005233528854101651,0.14773158690434246,0.04012802647124156,0.0667942642809734,0.44862929290791015,0.2900723847765532
